Model ID,Affinity (kcal/mol),Intramolecular Energy (kcal/mol),CNN Pose Score,CNN Affinity,CNN VS,CNN Variance
1.0,-9.4,19.57,0.0197,4.45,0.0874729231,4.52445364
2.0,-9.66,18.9,0.0161,4.212,0.0678020418,5.1585502625
3.0,-9.72,18.99,0.0157,4.671,0.0731824934,3.6495037079
4.0,-9.23,18.1,0.0146,4.745,0.0693559572,3.7382678986
5.0,-6.03,18.58,0.0139,3.433,0.047886353,3.7906630039
6.0,-7.97,18.3,0.0128,3.777,0.0482692085,3.2745659351
7.0,-9.41,19.65,0.0117,4.622,0.0541321188,3.7803452015
8.0,-6.03,17.84,0.0106,3.35,0.0355396867,3.6940333843
9.0,-7.87,19.33,0.009,4.025,0.0361017548,2.1155350208
