Model ID,Affinity (kcal/mol),Intramolecular Energy (kcal/mol),CNN Pose Score,CNN Affinity,CNN VS,CNN Variance
1.0,-7.71,-0.87,0.872,6.834,5.9589467049,0.0524937212
2.0,-5.06,-0.99,0.6787,5.722,3.8832144737,0.8534448743
3.0,-5.21,-0.92,0.5203,5.496,2.8595225811,0.1232837215
4.0,-7.34,-0.78,0.4225,6.286,2.6557588577,0.0609252416
5.0,-5.86,-0.87,0.3272,4.677,1.530200839,0.9109364152
6.0,-5.15,-0.88,0.3222,4.877,1.5714980364,0.0663663074
7.0,-6.2,-0.06,0.274,4.951,1.3565363884,0.3606972694
8.0,-4.63,-1.06,0.2241,5.05,1.1317423582,0.1035715342
9.0,-5.65,-1.22,0.2088,5.403,1.1281603575,0.1027987003
