Model ID,Affinity (kcal/mol),Intramolecular Energy (kcal/mol),CNN Pose Score,CNN Affinity,CNN VS,CNN Variance
1.0,-6.32,-0.01,0.2163,5.605,1.2124174833,0.7610440254
2.0,-7.27,-1.15,0.1754,6.05,1.0610603094,0.4416417181
3.0,-6.54,-1.02,0.1613,4.957,0.799371779,1.3093789816
4.0,-7.79,-0.43,0.1508,5.329,0.803643465,1.6270946264
5.0,-7.55,-1.8,0.1507,6.039,0.9100809097,0.6773001552
6.0,-6.44,0.37,0.1386,4.868,0.6748455763,1.3243317604
7.0,-6.88,-1.96,0.1237,5.541,0.6852753758,0.5998584628
8.0,-7.12,-1.31,0.1196,5.356,0.640833497,1.0928040743
9.0,-9.1,-0.91,0.1009,5.943,0.5998169184,1.4230457544
