Model ID,Affinity (kcal/mol),Intramolecular Energy (kcal/mol),CNN Pose Score,CNN Affinity,CNN VS,CNN Variance
1.0,-6.35,-1.14,0.3638,6.167,2.2436115742,0.0711396858
2.0,-6.19,-1.62,0.1958,5.94,1.1630169153,0.1593013704
3.0,-6.59,-1.3,0.1595,5.183,0.8263732195,1.8619917631
4.0,-8.31,-0.93,0.1199,6.781,0.8132572174,0.4079942703
5.0,-6.3,-1.94,0.1037,4.938,0.5121383667,0.6961024404
6.0,-8.55,-1.62,0.0945,5.373,0.5078175664,2.052934885
7.0,-6.35,-1.18,0.0914,5.281,0.4828507304,0.9914712906
8.0,-6.14,-0.37,0.0863,5.16,0.4451415241,1.0362782478
9.0,-7.42,-1.67,0.0794,4.691,0.372338444,2.0378601551
