Model ID,Affinity (kcal/mol),Intramolecular Energy (kcal/mol),CNN Pose Score,CNN Affinity,CNN VS,CNN Variance
1.0,-9.36,18.4,0.0131,4.646,0.0606766529,3.5206260681
2.0,-8.92,17.01,0.0118,5.052,0.0597976223,2.5329780579
3.0,-8.6,17.53,0.0075,4.407,0.033225771,3.3785743713
4.0,-8.38,19.29,0.0075,4.659,0.035030134,3.1296110153
5.0,-9.47,20.24,0.0064,4.753,0.0304502901,2.501942873
6.0,-6.42,17.44,0.0059,3.733,0.0220083371,2.8921673298
7.0,-8.49,17.99,0.0057,4.71,0.0266660191,3.0684330463
8.0,-6.44,16.85,0.0055,3.335,0.0183516648,3.0229790211
9.0,-6.94,17.42,0.0053,3.353,0.0178851988,3.4700374603
