Model ID,Affinity (kcal/mol),Intramolecular Energy (kcal/mol),CNN Pose Score,CNN Affinity,CNN VS,CNN Variance
1.0,-8.56,-1.12,0.9174,8.419,7.7241945267,0.0373805203
2.0,-9.34,-0.46,0.7776,8.005,6.2249212265,0.3454891145
3.0,-6.85,-0.19,0.2369,5.829,1.3810203075,0.4410459101
4.0,-6.45,-1.28,0.1487,5.71,0.8490487933,0.5732666254
5.0,-6.48,-1.79,0.1464,5.301,0.7757710218,1.0088423491
6.0,-7.95,-1.31,0.1382,5.267,0.7279581428,1.7826299667
7.0,-6.0,-1.58,0.1301,5.151,0.6700305939,1.1111403704
8.0,-6.72,-0.62,0.1201,5.773,0.6935451031,0.6376538277
9.0,-6.69,-1.49,0.1152,4.84,0.5574583411,0.9727928042
