Model ID,Affinity (kcal/mol),Intramolecular Energy (kcal/mol),CNN Pose Score,CNN Affinity,CNN VS,CNN Variance
1.0,-9.55,20.84,0.0176,4.704,0.0828423202,3.4755249023
2.0,-9.14,18.67,0.0156,4.983,0.0775509328,2.708742857
3.0,-9.35,17.36,0.0126,4.441,0.0559555031,3.3438007832
4.0,-8.96,21.71,0.011,4.914,0.053841114,2.4815835953
5.0,-6.76,17.12,0.0109,3.951,0.0430376232,2.3045380116
6.0,-6.58,18.13,0.0107,3.985,0.0424738079,2.1455497742
7.0,-9.14,16.52,0.0088,4.329,0.0381778292,3.8031742573
8.0,-6.17,17.0,0.0087,3.191,0.0278901607,3.2281959057
9.0,-8.8,17.28,0.0087,4.939,0.0430109277,2.5594227314
