Model ID,Affinity (kcal/mol),Intramolecular Energy (kcal/mol),CNN Pose Score,CNN Affinity,CNN VS,CNN Variance
1.0,-5.01,-1.41,0.7588,6.89,5.2283277512,0.2782815695
2.0,-5.2,-1.18,0.327,6.145,2.0093109608,0.0144797871
3.0,-9.09,-1.23,0.3219,7.484,2.4095497131,0.0952029526
4.0,-5.86,0.86,0.2183,6.199,1.3532850742,0.0012814234
5.0,-8.06,-1.43,0.2131,6.173,1.3156205416,0.2959439158
6.0,-5.84,-1.71,0.155,5.343,0.8279842734,0.4465279579
7.0,-6.14,-0.96,0.1474,5.287,0.7791982293,0.5012562275
8.0,-5.51,-1.11,0.1055,4.385,0.4624475837,0.984234035
9.0,-6.15,-1.38,0.1049,5.446,0.5710376501,0.3908669651
