Model ID,Affinity (kcal/mol),Intramolecular Energy (kcal/mol),CNN Pose Score,CNN Affinity,CNN VS,CNN Variance
1.0,-7.58,-0.4,0.8838,7.09,6.2659592628,0.0071574985
2.0,-6.91,-0.77,0.7841,6.594,5.1707868576,0.0929671824
3.0,-7.23,-0.33,0.6948,6.766,4.7007703781,0.0038615502
4.0,-4.8,-0.64,0.6925,5.005,3.4664263725,0.138099134
5.0,-4.8,-0.87,0.4676,5.357,2.5048053265,0.3270105124
6.0,-5.3,-1.07,0.4002,5.344,2.1387341022,1.1938309669
7.0,-6.02,-1.09,0.3682,5.403,1.9890011549,0.2773320973
8.0,-4.95,-1.16,0.3378,5.202,1.7570387125,0.3142362535
9.0,-7.27,-1.15,0.2854,6.133,1.7501431704,0.1920794994
