Model ID,Affinity (kcal/mol),Intramolecular Energy (kcal/mol),CNN Pose Score,CNN Affinity,CNN VS,CNN Variance
1.0,-7.81,-0.68,0.6838,7.396,5.0573129654,0.003368875
2.0,-8.97,-0.85,0.5507,7.549,4.1568198204,0.2285720557
3.0,-8.81,-0.55,0.3234,7.312,2.3647077084,0.0997982547
4.0,-7.74,-0.82,0.3109,6.925,2.1530017853,0.4970333576
5.0,-8.7,0.39,0.2878,7.515,2.1628181934,0.0905346274
6.0,-5.63,-1.38,0.2687,5.252,1.4113657475,0.825435698
7.0,-8.12,-1.22,0.1799,6.44,1.158665061,0.4654496014
8.0,-7.49,-0.89,0.1434,4.909,0.7039604187,1.6208992004
9.0,-7.4,-0.93,0.1287,5.891,0.7579501867,0.7703173757
