Model ID,Affinity (kcal/mol),Intramolecular Energy (kcal/mol),CNN Pose Score,CNN Affinity,CNN VS,CNN Variance
1.0,-7.77,-0.88,0.9232,6.991,6.4540543556,0.0991375521
2.0,-6.83,-1.08,0.8449,6.825,5.7667851448,0.072865434
3.0,-6.6,-0.34,0.7184,6.606,4.7455635071,0.0056781308
4.0,-7.43,0.77,0.6716,6.969,4.6801733971,0.0155639937
5.0,-5.6,-0.46,0.4928,5.69,2.8038830757,0.3252517283
6.0,-4.77,-1.07,0.3453,4.925,1.7004754543,0.3037701845
7.0,-4.91,-1.26,0.2717,5.197,1.4117851257,0.4470412731
8.0,-5.49,-0.96,0.2557,5.003,1.2793895006,0.9201923013
9.0,-4.9,-1.22,0.2471,5.114,1.2633925676,0.8220646381
